consolidated_latitude,consolidated_longitude,cluster
48.965333,2.883527,0
48.952919,2.915477,0
48.952114,2.916809,0
48.952114,2.916809,0
48.957132,2.882225,0
48.953951,2.920282,0
48.953002,2.883847,0
48.949943,2.884054,0
48.949943,2.884054,0
48.950823,2.883679,0
48.954346,2.897671,0
48.55701,2.53177,0
48.531354,2.54771,0
48.553767,2.526544,0
48.553767,2.526544,0
48.531877,2.550068,0
48.531699,2.543043,0
48.531699,2.543043,0
48.53351,2.54543,0
48.53241,2.55408,0
48.5323,2.53933,0
48.57131,2.53256,0
48.56494,2.54292,0
48.606257,2.969614,0
48.430879,2.763979,0
48.797424,2.124593,0
48.801445,2.120392,0
48.801996,2.130358,0
48.80698,2.124515,0
48.797825,2.13043,0
48.784153,2.177635,0
48.784202,2.181862,0
48.784202,2.181862,0
48.783949,2.170855,0
48.783949,2.170855,0
48.781246,2.201517,0
48.781246,2.201517,0
48.781122,2.196945,0
48.781122,2.196945,0
48.782472,2.190194,0
48.784849,2.172431,0
48.785191,2.17015,0
48.781304,2.200493,0
48.782478,2.172224,0
48.782478,2.172224,0
48.781261,2.195605,0
48.781261,2.195605,0
48.794352,2.063761,0
48.813018,2.054496,0
48.813584,2.055155,0
48.801828,2.015592,0
48.805124,2.019674,0
48.804179,2.010104,0
43.310428,6.634794,1
43.33943,6.12085,1
43.34383,6.12702,1
43.34383,6.12702,1
43.384825,6.096572,1
43.384825,6.096572,1
43.382309,6.097764,1
43.20109,6.04519,1
43.19148,6.04432,1
43.18817,6.04465,1
43.18817,6.04465,1
43.177575,6.534263,1
43.177575,6.534263,1
43.170946,6.534893,1
43.174115,6.526501,1
43.174115,6.526501,1
43.169936,6.533254,1
43.169936,6.533254,1
43.207435,6.465199,1
43.28033,6.58432,1
43.280687,6.58115,1
43.274761,6.57743,1
43.283508,6.592279,1
43.284273,6.590459,1
43.276785,6.581173,1
43.279636,6.577631,1
43.27405,6.523284,1
43.27297,6.525549,1
43.281624,6.583383,1
43.281624,6.583383,1
43.272583,6.521514,1
43.272583,6.521514,1
43.272138,6.523907,1
43.284445,6.594928,1
43.291153,6.609444,1
43.273078,6.521943,1
43.272782,6.521344,1
43.268533,6.574503,1
43.268533,6.574503,1
43.275783,6.522348,1
43.220607,6.659943,1
43.256121,6.635613,1
43.221173,6.64588,1
43.250875,6.657337,1
43.190588,6.556658,1
43.190588,6.556658,1
43.190588,6.556658,1
43.190588,6.556658,1
43.208973,6.568124,1
43.185556,6.599256,1
43.185556,6.599256,1
43.208438,6.568006,1
